user,comment
curlyhairdontcarrell,GOALS 🔥
jlburton16,So obsessed with that song and his proposal! The best! 😍
meagannicholeboyle,Sooo incredibly happy for you two!!
coco.and.cody.pups,I’m nonstop checking for the song on Spotify when is it going to be on Spotify??
pinkfrostingcookies,You two will have the sweetest baby’s
graciamicina,❤️❤️❤️
fabulittle,Love that song! When is it downloadable?!?
akshunts,❤️
thetravelingcreative,This makes my heart happy 😍
lyssaamichele,I need this song downloaded to my phone asap!! 😍 @iamchrislane when are ya releasing it?
trojanrymo,🙌🙌🙌
tess_clausen,Ahhhh 😭
blondetourage,You two are so cute 💕💕
katiehiill,😭😍
vxroniqux.__,❤️
maryelizabeth11,I'd watch this reality show... just saying!
melyea,Obsessed with this song!
koshea170,Love this 💗💗💗💗👌👌👌👌👌👌
thejamirose,😍😍😍😍
_.aleenakhan,❤️
a_mackenzie_g,@stevemadden  bring these boots back!!!
tschritter_amanda,💖
bresheppard,Sooo special 😭😍
picklesandpumps,😭😭😭🙌🏽
goodagentorg,❤️❤️❤️❤️
amypollard,To become truckers?? ☠️
corinnecordell,🥂
iammaddy008,❤😍😍
zahraa.aljabiry,😍😍
teelasson,CONGRATS LAUREN!!!!! So so happy for you guys!!! You two were meant to be together!!! ❤️❤️❤️
shireen134,💕
hildasue82,💞💪🏽💙
gvfletcher,🔥
missyrivas,So happy for you Lauren!!💕
krisduhhleighh,@dianakristine14 😍
kait.cleary,i hope you’re coming on the CCMF cruise with Chris!!!! 🥂
superpennie30,Aww Super cute soon to be married couple💗💗😊❤
katiewilley21,🎉
catrina_jocher,Love it 🎉🎉🎉🎉🎉😍
codak412,The cutest
thomas_baker97,🧡🧡
morganlynx,Cutest couple ❤️
caitlinnnnnnnnm,😍😍😍😍🙌🏻🙌🏻🙌🏻🙌🏻
makaylia_,❤️❤️❤️❤️
nik_830,@laurenbushnell @iamchrislane so happy for you two!! You guys are so cute! 💖
kbertram117,😍
meganferrini,Caption is everything 💕
rileymadison17,SO CUTE😍😭
andramarie,😍😭
cnn0426,😍😍😍😍 @laurenbushnell
faigy.thau,Love u❤️
kaitlynbrooke2016,❤️
kendrick302019,Getting engaged because of a publicity stunt to sell music 🤦🏽‍♀️
bethanybright,♥️♥️♥️
camillasentuti,Awww so sweet ♥️
brownandgraymusic,Cutest!
cmidyette,bootie details? I’m obsessed 🤩
chrisrodney79,👍🏿
jacquelinemercier,Where is this top from omg
butterfly00012002,❤️❤️❤️
jayrae2018,Goals 👏🏼🔥
meigs_g,@tmackay18 😭
kapristar,Congratulations! Beautiful song! I’m so so so so happy for your two!!! You deserve it Lauren! 💋💋💕😍🏝
courtneyaylward_,@laurenbushnell where to I get those boots?!
talashah_khan,Lovely
moonmaiden0710,So happy for you!
jolene_q23,@laurenbushnell finally turning you into an honest woman 😏
lynzicowden,BEST! Love you guys. Congrats. 😍
tor_loveee,Freakin love this 💗 that was heart warming. Gave me goosies
tor_loveee,Freakin love this 💗 that was heart warming. Gave me goosies
chelsreyn,We can’t stop watching the video 💕 we love your love! @thegreensoul @iamchrislane
jphutch,Roadie forever now @laurenbushnell 🎤🎸🎻🤠
lorih617,💕💕
noellewolflingerie,❤️❤️❤️❤️❤️
_autliz,Obsessed
newvintagehandbags,Congratulations 🌟💛✨
kateotiss,😩😩😩❤️
sbcasteel,So cute!  I cried watching the video.
tamiboe,Love this picture...
slo4shaklee,😍😍😍😍😍😍😍
katyybadilloo,the best ❤️
shallwesasa,Cute ❤️
fey_saechao,So so happy for you two!! ❤️
emilyyyhutsko7,😭😭😭
rhiannon_morris,Obsessed💕💕💕
ashlyn_0.4,Congrats Lauren!!❤️
mrstemplineva,Where are those boots from? 🔥🔥
5tarryannalay,I always knew it was meant to be
harminder221,Beautiful couple Lauren Bushnell & Chris Lane
halfasian50,LoVE the name Lauren Lane!
shopsparksclothing,🔥👏😢
poulomi.chakraborty.27,Songggg❤
achildress1985yahooxom,I'm  happy  for you
ann5_walraven,Y’all look very good couple
wendyaxtell,😍
melodydallmeyer,Omg💗
djshaunkelly49,Hope @laurenbushnell is with you in Laporte on 7/11! Congrats again on the engagement! Excited for our show with @jimmieallen and @gabbybarrett_
chloemad,@lizkoppel omg😍
stefanicq,♥️♥️
scarletbrents,❤️❤️❤️that song
dana_christie,misSOULa MATES💕
caseyymchale,Obsessed ❤️❤️
mandithetigerlover22,AWWW SO CUTE I AM HAPPY FOR I GUYS ❤️
marykate_payne,I love y’all omg
kameroncastle,❤️❤️❤️😍
hmparente,Amazing song 💕 Congrats!
josievandyke,Obsessed 😍
thecountrybarbie_rn,Y'all!!!😍❤️
unveiledwellness,I’ve had this song stuck in my head ever since it was posted!
mehud0325,Congrats on your Engagement I'm so happy and excited for ya'll wishing ya'll lot's of love and happiness🥂🍾💐❤
samanthafooks,That's the sweetest song ever!!💕
hannahggorman,@elizabethnutty I love them
blake_thomazin,Gahhhhhhh😍😍😍
tamijim,When’s going to be available in iTunes?
thetrishayvonne,#goals
miranda_thomas98,❤️
schaferkenzie,when is his song going to come out???
danielaellaellaa,Those boots 😍🙌🏽 Where are they from??
dr.masoud.qasemi,👍💟💟💟💟
hnhunter,❤️❤️
ashleyywwong,Aww😍
s.e.v.e.n.d.a.y.s,✔
hgconsta,💛💛💛
jennalyn526,😍😍😍So excited! I can help plan you’re wedding! 😁 so happy for y’all 💖
pahouavang__,Omg
baezajen,You two ❤️😍
savsimpsonn,Literally cutest ever
chelsibeth,Outtffitttt🙌
nicolita_amber12,💖💖💖💖
sambishop14,:’)))
rachelbergerrrr,😍😍😍
jk0rs,My heart is happy
bonniegreen,You 2 are the cutest!💕
