user,comment
iggyni,👍
evcastilllo,@getthemessageroc
cool.und.schwul,you look like you're doing crack
tifonfon,@paufleuri le tshirt ma cox mdr
joannajune2982,beautiful beautiful bird nest talking with wrinkled forehead
joannajune2982,her hair :D
joannajune2982,something is wrong with her
britneysanjose,BRITNEY💖
von_death,@midnightmagictramp
ketsusir_,❤️❤️❤️好的 针姐
vasilenkofamily,Эх Бритни....береги лицо😅
parissoc,@bobbyoc
isaiasleite94,💓
lovelygirl687,Oh my god brit u speak very fast 😂🙈
7mar7azul7lene,Unconditional love to you ❤️
___promotions___,👌
sadlifesz,Chernobyl kkkk
enzo_delucia,❤️
aleks_ko_8877,Eбaть мой старый xyй! А ведь когда-то была красоткой 🙄
zoe_robbinss,"@nice_to_b_nice just bringing this account to your attention, and the comments. 🤗"
buergermeister_von_guellen,@gihan_sh  1 zu 1 duuu
chaywards,@kendallillywood
keykavosii,اینقد تند تند حرف میزنه انگار دنبالش کردن😮
dritan_demaj,🤔🤔🙄🙄🙈🙈👍🔝😍❤️
jessica_martinx,@emilymartin23 🙄
d17th,Very cute
megxnbinghxm,Wheres the Shane stans with their conspiracys at ?
moshimoshiluv,Looks like someone busted in her hair
c_town,@hayleyjanems
lynskeyhelen,@bryonyisobel here for the comments x
absolut_aims,Mean Greece pt.2 @ella.vlasic
miss_saxena__,😘
komal_153045,मुझसे दोस्ती करने के लिए मुझे फॉलो करो मैं दोस्ती करना चाहती हूं🔥🔥🔥
blairbear_047,miss u
steven_desfavelas,@camillecrem Turk & Caicos 💕
a_68_45,چقد غیر عادیه رفتاراش. ترسناکه😒
alinfaragau,I love you 😭😭😭
kristenwall_,@laurenelysenielsen such beautiful souvenirs
damiarto,"She's just enjoying to inform us al about her visits/ vacations/... like a normal instagrammer. what's wrong with that? + if she feels better with the black eyeliner on, let her have it... we don't make her decisions, but please support every decision she's making instead of bullying or giving criticism... 💛"
sarah__goodwin_,@lilmillwil
allijones33,I LOVE BRITNEY
comatose_cashew,"Youre such a MOM. I wish I had a mom and that mom was you... Unfortunatley I have a ""Mother"" and that woman is terrifying."
ileneterege,@my.hy
mahgathe,@iampaulrion elle a pas l'air en forme britbrit
dannydinero7,😒💃 @britneyspears well..well
preciousp3_3,😃😃😃
vinylmother,Love you Britneyyyyyyy
vinylmother,Supporting you ALWAYS!
katehutchins89,In the morning afters hair and makeup??
tommygnashville,So glad you had a great time!  You seem like the sweetest person.  I love your posts lately.  Very fun.
jordanashtonsmith,❤️
s_power11,@louisemorrison89
angelstandingby,Angel
angelstandingby,I love you Britney! Your fans support you!
saltytoys,WTF!
chrisandageles,I cannot deal @samanthajbaulch 😂
senny_ros,GBU👍
danix39,@n_brooks87 is she okay?
saccoguy,"Happy 4 u, Brit! And happy i can hear bc your voice is sooo pretty! 😍"
kennnet_salazas,Britney i loved baby
kennnet_salazas,❤️❤️❤️❤️❤️❤️
miiina.is.my.name,🤣
dlr_19eighty,Her awkwardness is uncomfortable that’s its almost hard to believe she’s a live performer. 🙄
ol_hobson,@clavcakes
lmc1104,I wonder if she’s miming....🙄
kim_archer,@mstaraleebell
kim_archer,@mchillard
kim_archer,@jaydenbarnett
walmer_1977,The female TeddyRubskin. lmao💥
supervillain_princess,"Britney mulher, tu tá acabada"
supervillain_princess,Mas eu ainda te amo
zoiesworldhoee,😍😍😍😍😍😍💙
tenp980,🌹❤️😍😍😍😍
tenp980,👅👅🎀👅🎀👅🎀👅👅
stevwinter,❤️
crystaltaylorr,@aleeshahoulden @aimeehoulden make sure the sounds on and you swipe. Illuminati not hard at work
rikkejanell,Makeup
blogofeternalstench,@joshualawrencediary beautiful purchases
miss__fancy,💀💀💀💀
nedaw_offical,😗💋💋
regina_bernal_,@gladysgamavera  con 37 años ya luce así
princejoshuavet,You are more Beautiful than all the places you visit!
lone.rover,💗💗
maiakovska_art,@farah.bndi
martin_traychev,❤️ ❤️ ❤️ ❤️ ❤️
ripoll.marco,Guapísima❤️❤️❤️
polly_pickpocket_sis,No offense queen but...wanna try a new makeup regiment? It's just ya looking a little...tired lately.
laurarivermx,@anahyibarram
murcadez,Brit they have this thing called makeup artists now jsyk @sarahlynnn8
romtankin,Those hats get me all GIIIIIIIIIIIIIIIIIIIIIIIIIRRRRRRRRRLLLLLLL
yong_thug_who,So.... she talkin bout the H&M in Turks and cacos?
cathie__rose__halko,@georgeanng  beautiful purchases
garyarmstrong,I don’t think I understand @ruth_hickman
yam_312,😍
gavriel_duran,"I'm worried about her emojis, they don't look well."
nastenka.sunegina,"Бритни,у тебя такой макияж всегда,будто ты спала с макияжем,и размазал,выглядит не опрятно!И вообще ты стала страшная."
noshoez509,Love that shirt @britneyspears
laurenmcherry,@larned30
raquel_polakovsky,@lindsay7431
traceydmisst,@claremkemble
traceydmisst,@rubyjeantuesday
dena7277,How come her voice has changed so much?https://youtu.be/GprUu55Z17Q
dailyhollywoodrundown,❤️❤️❤️❤️❤️❤️❤️
crystalleigh31,Beautiful Beautiful Beautiful Beautiful
faithdani88,"Amazing!! Love seeing you happy & carefree!! Now go out, fight & tell your story. You are the strongest woman I know!!!"
rcjtweek,WHERE IS THE QUEEN OF MY KINGDOM... SHE LIES A WAIT WITH A FEVER MY LORD
hollaayrae,@tessaxking  what have you introduced me to
abjami,Great style for the beginning of summer!❤️👍 #hats
loribethallen,Most beautiful resort
realsarahmac,@_caitlinnn93
_samrodway_,@laura.rodway 🤦‍♀️
sakibombx,Ohhh boy
martin.mugerwa.3,Hello dear
martin.mugerwa.3,Hello dear
coco_nee_nee,@ninaa.isabella
___promotions___,👌
jessowens11,@ashleygreenthompson here’s another one
asesores_tributarios_ifrs,TE amamos britney
fafaviriato,😂😂😂
yu_marlon,鸡
chloelaura_xo,@bethdonovan2 I feel something is off with her 😩
salarshams65,I love
salarshams65,i love
