user,comment
rcdm_detailed_joinery,@l_mcbay
shazza.edwards,"Haha this post goes to show that you can post anything, reading through the comments. WTF"
ivan_surff,THX :)
dias_raquel,Cuidado com a pressão princesa!
heysailor00,@sammity93 !!!!!!
indiana_21,"Oh my god at all the people saying ""queen of..."" and ""invented...""!"
isabellemaelle,@evo.demir the comments are lit
siminn_davoodi,😘
mariya_broitman,@naamakatvan  האם את זוט בריטני ספירס?
corine.howard,Huh? Is that good?
karakingswardhughes,@tanyalacey  sounds like this is up your street
ajeet949,😂
haniehdoroodiii,اع شمام نمک میزنید به هندونه؟
jolieangelina6,😝
elaprad127,@morrrissa skinny as a needle 🤣
christina_mistina,the ONLY way to eat it 😍 told ya @_angiem_10
imsakda__sak,@seaveydaniel 🍉
amyharris___,@chloelewis_xo if it’s good enough for britney
bee_hived,But what color is it @britneyspears @danaschroering @haute_n_saucy also wtf
marios_enzo,👍
itslaura_a,Salt?is it good?!
haydeeadizas,"I do that, too!!!! Watermelon and salt is 💕 😍"
nobi_duy,😂😂😂😂😂😂
ganesh_thumma,📷🐔🌺
eziapennacchio,Noooo whit lemon 😍
maria18crespoq,Haaaaaaaaaay que rico
katiebugrocks17,LOVE salt on my watermelon!
devonien,Salt??? 🤔🤔🤔🤔
felix.blzk,@hexe231285 ich hab da so ein leichtes dejavùe
ritastewart7,Watermelon and feta 😊😊😊
fredcenteno762,Put some lime too
lllxxii97,🍉
thepittiepatter,The best!
itsnavissa,"Cm 1 doang, Brit? 😁"
lapiper37,Yes gotta have the salt!
fanno84,Salt? Better with feta and Minze 😍
jeanilynmurcia,🌸💕
zosia_karczewska,Salt?!
mcmullicoy,The Southern way!!!
es_23_k,Watermelon with feta cheese is the best 🤪
vilkensandra,Does it taste good? 🍉🧂
wosssyy,@manc_azza I think you would manage to make this
nosotrasenelcafe,You mexican? 🤔
